,timesteps,q_t,p_t,t_t,best_score,ind_over_ninety,sample_complexity,best_ind
0,10.0,0.1,0.1,0.1,0.982552409172,4773.0,1.0128670933,6061.0
1,5.0,0.1,0.1,1.0,0.986738145351,1886.0,1.20483485092,5117.0
2,10.0,0.001,1.0,0.1,0.988375306129,4072.0,1.04916223457,5886.0
3,5.0,0.1,1.0,0.1,0.988485872746,1538.0,1.00850093614,6124.0
4,10.0,0.1,1.0,0.1,0.985616207123,4930.0,1.04534545274,5891.0
5,10.0,0.001,1.0,0.01,0.988102555275,2943.0,1.63281268589,3781.0
6,5.0,0.1,0.1,0.01,0.988698661327,1395.0,1.0987885514,5622.0
7,10.0,0.1,0.1,0.01,0.995569050312,4975.0,1.00962756474,6161.0
8,10.0,0.1,0.1,1.0,0.987025856972,4538.0,0.994506943132,6201.0
9,5.0,0.001,1.0,0.01,0.985015273094,3841.0,1.0250458738,6004.0
10,5.0,0.001,1.0,0.1,0.989028096199,1907.0,1.00397198132,6155.0
11,10.0,0.1,1.0,0.01,0.988115370274,4228.0,1.19623034944,5161.0
12,5.0,0.1,0.1,0.1,0.982024073601,5222.0,1.02706501705,5974.0
13,5.0,0.1,1.0,0.01,0.98848927021,4925.0,1.17841651598,5241.0
14,5.0,0.001,1.0,1.0,0.938810765743,5792.0,0.943643768398,6216.0
15,5.0,0.1,1.0,1.0,0.988054573536,3944.0,1.23024411627,5018.0
